,PC1,PC2,PC3
II_SC_1_Tcells,-16.679603252526185,-2.361500682639802,-2.2595551434983863
II_SC_2_Tcells,-14.502245540575435,-2.1407000209508493,-9.638465830623781
II_SC_3_Tcells,-11.982612520255962,0.9947619267706003,-4.071812251324236
II_SC_4_Tcells,-12.163146789701138,-4.4393828205617,-6.787807379102627
II_SC_6_Tfhcells,-12.989073114958765,-11.623059985814875,12.211084109479234
II_SC_7_Tfhcells,-15.036570492521466,-5.301308449426711,4.1846845761850355
II_SC_8_Tfhcells,-8.252847478900225,-0.8312691307128153,2.2813084466704274
II_SC_9_Th1cells,-2.694003387835254,3.8994361068407737,-3.727874110874487
II_SC_10_Th1cells,0.8073019853503808,17.445374142384132,5.15890297753402
II_SC_11_Th1cells,-1.1096283714867978,12.619257236209966,2.9217982625052326
II_SC_12_Th1cells,-2.3270043890164067,5.604841016145025,0.28521051941753844
II_SC_13_Th17cells,25.953174296718636,-4.580853417059717,-4.0063994031093815
II_SC_14_Th17cells,25.905661829279918,1.129365774237975,-0.47500470398504435
II_SC_15_Th17cells,17.87553652521781,-4.965418497526003,7.423982991224021
II_SC_16_Th17cells,27.19506070121088,-5.449543197896021,-3.5000530604975717
